EMBALAGEM;UNID_POR_EMB;LITROS_POR_EMB;LITROS_POR_UNIDADE
1;1;1;1
100x1;100;100;1
10X1;10;10;1
10x1;10;10;1
12X 1L;12;12;1
12X 300ML;12;3.6;0.3
12X 450 ML;12;5.4;0.45
12X 500 ML;12;6;0.5
12X1;12;12;1
12X1 KG;12;0;0
12X1 L;12;12;1
12X1 LT;12;12;1
12X10 GR;12;0;0
12X100 GR;12;0;0
12X100ML;12;1.2;0.1
12X160 ML;12;1.92;0.16
12X1L;12;12;1
12X1LT;12;12;1
12X2;12;24;2
12X200 GR;12;0;0
12X200 ML;12;2.4;0.2
12X200GR;12;0;0
12X200ML;12;2.4;0.2
12X220ML;12;2.64;0.22
12X235ML;12;2.82;0.235
12X250 G;12;0;0
12X250 GR;12;0;0
12X250 ML;12;3;0.25
12X250G;12;0;0
12X250ML;12;3;0.25
12X3 GR;12;0;0
12X300 GR;12;0;0
12X300 ML;12;3.6;0.3
12X300ML;12;3.6;0.3
12X400 ML;12;4.8;0.4
12X400ML;12;4.8;0.4
12X45 ML;12;0.54;0.045
12X50 GR;12;0;0
12X500;12;6;0.5
12X500 GR;12;0;0
12X500 ML;12;6;0.5
12X500ML;12;6;0.5
12X60 GR;12;0;0
12X7 GR;12;0;0
12X73 GR;12;0;0
12X85 GR;12;0;0
12X946 ML;12;11.352;0.946
12X946ML;12;11.352;0.946
12x1;12;12;1
12x1 LT;12;12;1
12x300 ML;12;3.6;0.3
12x470 GR;12;0;0
15X1;15;15;1
16X1;16;16;1
17X1;17;17;1
18X80 GR;18;0;0
1X 500 ML;1;0.5;0.5
1X1;1;1;1
1X120 GR;1;0;0
1X2;1;2;2
1X20 LTS;1;20;20
1X200ML;1;0.2;0.2
1X500 ML;1;0.5;0.5
1X5LT;1;5;5
1x1;1;1;1
20X1 LT;20;20;1
20X200 ML;20;4;0.2
20X500ML;20;10;0.5
24 X1KG;24;0;0
24X1;24;24;1
24X1 L;24;24;1
24X1 LT;24;24;1
24X100 ML;24;2.4;0.1
24X180G;24;0;0
24X190 GR;24;0;0
24X1L;24;24;1
24X1LT;24;24;1
24X200 GR;24;0;0
24X250ML;24;6;0.25
24X4 G;24;0;0
24X45 ML;24;1.08;0.045
24X4G;24;0;0
24X500 GR;24;0;0
24X500 ML;24;12;0.5
24X500ML;24;12;0.5
24X60 GR;24;0;0
24X60 ML;24;1.44;0.06
24X7 GR;24;0;0
24X73 GR;24;0;0
24x1;24;24;1
24x1 KG;24;0;0
24x1 LT;24;24;1
25X1;25;25;1
25X50 GR;25;0;0
2X 1L;2;2;1
2X1;2;2;1
2X3L;2;6;3
2X5LT;2;10;5
36X 20G;36;0;0
36X500 GR;36;0;0
36X80 GR;36;0;0
36x80 GR;36;0;0
45 ML;1;0.045;0.045
48X200ML;48;9.6;0.2
4X3;4;12;3
4X3 KG;4;0;0
4X3,5KG;4;0;0
4X4;4;16;4
4X4 LTS;4;16;4
4X500 ML;4;2;0.5
4x5 LTS;4;20;5
50X1;50;50;1
50x1;50;50;1
6X 200ML;6;1.2;0.2
6X 946ML;6;5.676;0.946
6X1;6;6;1
6X1LT;6;6;1
6X250ML;6;1.5;0.25
6X300ML.;6;1.8;0.3
6X350 ML;6;2.1;0.35
6X350ML;6;2.1;0.35
6X4 LTS;6;24;4
6X400ML;6;2.4;0.4
6X4L;6;24;4
6X4LT;6;24;4
6X500 ML;6;3;0.5
6X500ML;6;3;0.5
6X80 ML;6;0.48;0.08
6X946ML;6;5.676;0.946
6x4 LTS;6;24;4
BALDE;1;20;20
BALDE 20LTS;1;20;20
BD;1;20;20
GALÃO;1;0;0
KIT C/ 5 CXS;1;60;60
PCT C/  4 UN;1;0;0
PCT C/ 06 UN;1;0;0
PCT C/ 10 UN;10;0;0
PCT C/ 12 UN;1;0;0
PCT C/ 3 UN;3;0;0
PCT C/ 6 UN;1;0;0
PCT C/12 UN;1;0;0
TAMBOR;1;200;200
UN;1;1;1
UNIDADE;1;1;1
