COD_FAB;DESCRICAO;DISPONIVEL;UN;LOCAL;FORNECEDOR
50605.32.3;ATF DIII - 12LT;7;CX;MKLOG;YPF
50605.12.3;ATF DIII - 20LT;667;BB;MKLOG;YPF
50607.25.3;DIELECTRICO BI - 200LT;58;TB;MKLOG;YPF
50519.32.3;ELAION AURO D1 020 - 12LT;648;CX;MKLOG;YPF
50514.42.3;ELAION AURO D1 530 - 1000L;68;CO;MKLOG;YPF
50514.32.3;ELAION AURO D1 530 - 12LT;3606;CX;MKLOG;YPF
50514.25.3;ELAION AURO D1 530 - 200LT;526;TB;MKLOG;YPF
50491.32.3;ELAION AURO D2 530 - 12LT;4037;CX;MKLOG;YPF
50491.25.3;ELAION AURO D2 530 - 200LT;39;TB;MKLOG;YPF
50561.32.3;ELAION AURO FE 520 - 12LT;1170;CX;MKLOG;YPF
50405.32.3;ELAION AURO PLUS 540 - 12LT;3126;CX;MKLOG;YPF
50556.32.3;ELAION FS 530 - 12LT;5532;CX;MKLOG;YPF
50556.25.3;ELAION FS 530 - 200LT;138;TB;MKLOG;YPF
50563.32.3;ELAION FS 540 - 12LT;2248;CX;MKLOG;YPF
50563.25.3;ELAION FS 540 - 200LT;131;TB;MKLOG;YPF
50526.32.3;ELAION MI 2050 - 12LT;1363;CX;MKLOG;YPF
50526.25.3;ELAION MI 2050 - 200LT;14;TB;MKLOG;YPF
50614.32.3;ELAION TS 1030 SP - 12LT;833;CX;MKLOG;YPF
50523.25.3;ELAION TS 1040 - 200LT;146;TB;MKLOG;YPF
50524.32.3;ELAION TS 1540 - 12LT;5145;CX;MKLOG;YPF
50524.25.3;ELAION TS 1540 - 200LT;53;TB;MKLOG;YPF
50616.12.3;EXTRAVIDA XV100 20W50 - 20LT;74;BB;MKLOG;YPF
50501.32.3;EXTRAVIDA XV200 15W40 - 12LT;1249;CX;MKLOG;YPF
50501.25.3;EXTRAVIDA XV200 15W40 - 200LT;100;TB;MKLOG;YPF
50501.12.3;EXTRAVIDA XV200 15W40 - 20LT;9498;BB;MKLOG;YPF
50617.25.3;EXTRAVIDA XVT400 15W40 - 200LT;14;TB;MKLOG;YPF
50617.12.3;EXTRAVIDA XVT400 15W40 - 20LT;591;BB;MKLOG;YPF
50618.32.3;EXTRAVIDA XVT500 10W40 - 12LT;165;CX;MKLOG;YPF
50618.25.3;EXTRAVIDA XVT500 10W40 - 200LT;70;TB;MKLOG;YPF
50618.12.3;EXTRAVIDA XVT500 10W40 - 20LT;275;BB;MKLOG;YPF
50619.42.3;EXTRAVIDA XVT550 5W30 - 1000LT;5;CO;MKLOG;YPF
50619.12.3;EXTRAVIDA XVT550 5W30 - 20LT;797;BB;MKLOG;YPF
50620.12.3;FT SUPER 10W - 20LT;576;BB;MKLOG;YPF
50621.12.3;FT SUPER 30 - 20LT;356;BB;MKLOG;YPF
50444.32.3;FT SUPER 40 - 12LT;460;CX;MKLOG;YPF
50622.12.3;FT SUPER 50 - 20LT;596;BB;MKLOG;YPF
50569.12.3;GRASA 30C - 20KG;164;BD;MKLOG;YPF
50570.32.3;GRASA 62 - 12KG;178;CX;MKLOG;YPF
50570.12.3;GRASA 62 - 20KG;324;BD;MKLOG;YPF
50462.32.3;HELICOIDAL 80W - 12LT;8;CX;MKLOG;YPF
50462.12.3;HELICOIDAL 80W - 20LT;352;BB;MKLOG;YPF
50572.32.3;HELICOIDAL E 80W90 - 12LT;686;CX;MKLOG;YPF
50572.12.3;HELICOIDAL E 80W90 - 20LT;316;BB;MKLOG;YPF
50464.12.3;HELICOIDAL R 140 - 20LT;8;BB;MKLOG;YPF
50463.12.3;HELICOIDAL R 90 - 20LT;496;BB;MKLOG;YPF
50574.12.3;HIDRAULICO BP 150 - 20LT;1029;BB;MKLOG;YPF
50484.12.3;HIDRAULICO BP 32 - 20LT;454;BB;MKLOG;YPF
50466.25.3;HIDRAULICO BP 68 - 200LT;70;TB;MKLOG;YPF
50469.42.3;HIDRO 19 - 1000LT;4;CO;MKLOG;YPF
