FORNECEDOR;MESES_MEDIA;COBERTURA_ALVO;PEDIDO_EM;COMPRADOR
OUTROS;3;2;UNIDADE;A DEFINIR
TECFIL;6;2;UNIDADE;FELIPE
WEGA;3;2;UNIDADE;A DEFINIR
PETROBRAS;3;2;UNIDADE;A DEFINIR
INATIVOS;3;2;UNIDADE;A DEFINIR
MANN;6;2;UNIDADE;A DEFINIR
PETRONAS;3;2;MASTER;FELIPE
TEXACO;3;2;UNIDADE;A DEFINIR
YPF;3;2;MASTER;FELIPE
3M;12;2;UNIDADE;FELIPE
SHELL;3;2;UNIDADE;A DEFINIR
INGRAX;6;2;MASTER;FELIPE
PARKER;3;2;UNIDADE;A DEFINIR
IPIRANGA;4;2;UNIDADE;A DEFINIR
DIVERSOS;3;2;UNIDADE;A DEFINIR
ORBI;3;2;UNIDADE;A DEFINIR
TECBRIL;3;2;UNIDADE;FELIPE
CENTRALSUL;3;2;UNIDADE;FELIPE
BOSCH;12;2;UNIDADE;A DEFINIR
MUNDIAL PR;3;2;UNIDADE;A DEFINIR
JOHNSON;3;2;UNIDADE;A DEFINIR
CASTROL;2;2;UNIDADE;A DEFINIR
KOUBE;3;2;MASTER;FELIPE
ELETRODO;3;2;UNIDADE;A DEFINIR
RADIEX;3;2;UNIDADE;A DEFINIR
BARDAHL;3;2;UNIDADE;A DEFINIR
IMPECA;3;2;UNIDADE;A DEFINIR
ACESSORIOS TROCA DE OLEO;3;2;UNIDADE;A DEFINIR
TECOVEL;3;2;UNIDADE;A DEFINIR
MOBIL;3;2;UNIDADE;A DEFINIR
AUTOIMPACT;3;2;UNIDADE;A DEFINIR
CAR 80;6;2;UNIDADE;FELIPE
VALVOLINE;3;2;MASTER;FELIPE
CLICK;3;2;UNIDADE;A DEFINIR
JVC;3;2;UNIDADE;A DEFINIR
BETILIMP;3;2;UNIDADE;A DEFINIR
BRASCOM;3;2;UNIDADE;A DEFINIR
PARAFLU;3;2;UNIDADE;A DEFINIR
AREON;3;2;UNIDADE;FELIPE
ESTOPA;3;2;UNIDADE;A DEFINIR
PENSYL-TEX;3;2;UNIDADE;A DEFINIR
MOTUL;3;2;UNIDADE;A DEFINIR
AC DELCO;4;2;UNIDADE;A DEFINIR
BOZZA/JACTOIL;3;2;UNIDADE;A DEFINIR
TRABASIL;3;2;UNIDADE;A DEFINIR
MATERIAL P/  CONSUMO;3;2;UNIDADE;A DEFINIR
DRAFT;3;2;UNIDADE;A DEFINIR
LATAS VAZIAS;3;2;UNIDADE;A DEFINIR
BRINDES;3;2;UNIDADE;A DEFINIR
KITS DE QUEROSENE;3;2;UNIDADE;A DEFINIR
PENSYL-TEX(INVENTARIO);3;2;UNIDADE;A DEFINIR
TRW;3;2;UNIDADE;A DEFINIR
UFI;3;2;UNIDADE;FELIPE
MULTIGRAX;3;2;UNIDADE;A DEFINIR
DX FUEL;3;2;UNIDADE;A DEFINIR
PREMIUM QUIMICA;6;2;UNIDADE;FELIPE
PALLET;3;2;UNIDADE;A DEFINIR
QUEROSENE A GRANEL;3;2;UNIDADE;A DEFINIR
CADILLAC;3;2;UNIDADE;FELIPE
