COD_TRIBUTACAO;DESCRICAO;MODALIDADE;MVA;ALIQ_ICMS_SAIDA;REDUCAO_BASE;ICMS_EF_SAIDA;ICMS_EF_SEM_REDUCAO
24;REDUÇÃO 41,176% COM PIS/COFINS;NORMAL;;0.205;0.41176;0.1205892;0.205
31;RE ST BA MVA 71,78% C/PIS;ST_SUBSTITUTO;0.7178;0;0;0;0
26;RE ST BA MVA 62,35% LUBRI C/PIS;ST_SUBSTITUTO;0.6235;0;0;0;0
32;RE ST BA MVA 71,78% S/PIS;ST_SUBSTITUTO;0.7178;0;0;0;0
8;SUBS TRIBUT ESTADUAL SEM PIS;ST_RECOLHIDO;;0;0;0;0
25;REDUÇÃO 41.176% SEM PIS/COFINS;NORMAL;;0.205;0.41176;0.1205892;0.205
5;SUBS TRIBUT ESTADUAL LUBRIFICANTE C/ PIS;ST_RECOLHIDO;;0;0;0;0
50;RE ST BA MVA 32,5% LUBRI C/PIS;ST_SUBSTITUTO;0.325;0;0;0;0
30;RE ST BA MVA 65% C/PIS;ST_SUBSTITUTO;0.65;0;0;0;0
7;SUBS TRIBUT ESTADUAL COM PIS;ST_RECOLHIDO;;0;0;0;0
28;RE ST BA MVA 35% C/PIS;ST_SUBSTITUTO;0.35;0;0;0;0
29;RE ST BA MVA 55% C/PIS;ST_SUBSTITUTO;0.55;0;0;0;0
3;ICMS 12% INTERESTADUAL COM PIS;NORMAL;;0.12;0;0.12;0.12
20;20,5% ICMS RED.  57,07% ALIQ. 8,8% C/PIS;NORMAL;;0.205;0.5707;0.0880065;0.205
39;F9 ST ESTADUAL MVA 71,78% S/PIS;ST_SUBSTITUTO;0.7178;0;0;0;0
